COUNTY,CITY
 ANDERSON , CAYUGA
 ANDERSON , ELKHART
 ANDERSON , FRANKSTON
 ANDERSON , MONTALBA
 ANDERSON , PALESTINE
 ANDREWS , ANDREWS
 ANGELINA , BURKE
 ANGELINA , DIBOLL
 ANGELINA , HUNTINGTON
 ANGELINA , LUFKIN
 ANGELINA , POLLOK
 ANGELINA , ZAVALLA
 ARANSAS , ARANSAS PASS
 ARANSAS , FULTON
 ARANSAS , ROCKPORT
 ARCHER , ARCHER CITY
 ARCHER , HOLLIDAY
 ARCHER , MEGARGEL
 ARCHER , SCOTLAND
 ARCHER , WINDTHORST
 ARMSTRONG , CLAUDE
 ARMSTRONG , WAYSIDE
 ATASCOSA , CAMPBELLTON
 ATASCOSA , CHARLOTTE
 ATASCOSA , CHRISTINE
 ATASCOSA , JOURDANTON
 ATASCOSA , LYTLE
 ATASCOSA , PLEASANTON
 ATASCOSA , POTEET
 AUSTIN , BELLVILLE
 AUSTIN , BLEIBLERVILLE
 AUSTIN , CAT SPRING
 AUSTIN , NEW ULM
 AUSTIN , INDUSTRY
 AUSTIN , SAN FELIPE
 AUSTIN , SEALY
 AUSTIN , WALLIS
 BAILEY , BULA
 BAILEY , ENOCHS
 BAILEY , MAPLE
 BAILEY , MULESHOE
 BANDERA , BANDERA
 BANDERA , MEDINA
 BANDERA , VANDERPOOL
 BASTROP , BASTROP
 BASTROP , CEDAR CREEK
 BASTROP , ELGIN
 BASTROP , PAIGE
 BASTROP , SMITHVILLE
 BAYLOR , SEYMOUR
 BEE , BEEVILLE
 BEE , PETTUS
 BEE , SKIDMORE
 BELL , ACADEMY
 BELL , BARTLETT
 BELL , BELTON
 BELL , DING DONG
 BELL , HARKER HEIGHTS
 BELL , HOLLAND
 BELL , KILLEEN
 BELL , NOLANVILLE
 BELL , ROGERS
 BELL , SALADO
 BELL , TEMPLE
 BELL , TROY
 BEXAR , ALAMO HEIGHTS
 BEXAR , BALCONES HEIGHTS
 BEXAR , CIBOLO
 BEXAR , CHINA GROVE
 BEXAR , CONVERSE
 BEXAR , FAIR OAKS RANCH
 BEXAR , HELOTES
 BEXAR , HOLLYWOOD PARK
 BEXAR , KIRBY
 BEXAR , LEON VALLEY
 BEXAR , LIVE OAK
 BEXAR , OLMOS PARK
 BEXAR , SAN ANTONIO
 BEXAR , SCHERTZ
 BEXAR , SHAVANO PARK
 BEXAR , SOMERSET
 BEXAR , ST
 BLANCO , BLANCO
 BLANCO , JOHNSON CITY
 BLANCO , ROUND MOUNTAIN
 BORDEN , GAIL
 BOSQUE , CLIFTON
 BOSQUE , CRANFILLS GAP
 BOSQUE , IREDELL
 BOSQUE , MERIDIAN
 BOSQUE , MORGAN
 BOSQUE , VALLEY MILLS
 BOSQUE , WALNUT SPRINGS
 BOWIE , DALBY SPRINGS
 BOWIE , DE KALB
 BOWIE , HOOKS
 BOWIE , LEARY
